Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2251370;13387;20922;51.54333336000000000000;114.72666665000000000000;228.37333330000000000000;1206.32999998000000000000;6819.60333335000000000000;8420.57666669000000000000;.03120000000000000000;28088112.80980000000000000000;42069054.13680000000000000000;68079.97980000000000000000;7798.62690000000000000000;54999.95360000000000000000;8525667.42000000000000000000;3.00000000000000000000;1.50490000000000000000;.99350000000000000000;3.29160000000000000000
2;0.5;1819203;13387;20922;71.09000000000000000000;133.40666664000000000000;242.82666665000000000000;1376.19333336000000000000;60780.08333333000000000000;62603.59999998000000000000;.19070000000000000000;207121374.81370000000000000000;194012910.02630000000000000000;409275.35650000000000000000;358753.30330000000000000000;86087.86650000000000000000;62919430.70690000000000000000;3.00000000000000000000;.93760000000000000000;.99750000000000000000;3.29000000000000000000
3;0.5;1867049;13387;20922;64.47333333000000000000;118.16333330000000000000;222.25333336000000000000;1258.35666671000000000000;17476.14000004000000000000;19139.38666670000000000000;.06060000000000000000;63820393.81350000000000000000;82385976.60360000000000000000;110699.12650000000000000000;64410.20710000000000000000;74695.38330000000000000000;19387722.69030000000000000000;3.00000000000000000000;1.29070000000000000000;.99540000000000000000;3.28970000000000000000
4;0.5;2302611;13387;20922;81.66000000000000000000;146.75000000000000000000;397.67000000000000000000;1869.72000000000000000000;17904.89000000000000000000;20400.69000000000000000000;.02060000000000000000;67994904.09000000000000000000;104809320.10000000000000000000;111555.59000000000000000000;19261.92000000000000000000;90880.75000000000000000000;20659945.17000000000000000000;1.00000000000000000000;1.54280000000000000000;.99300000000000000000;3.28940000000000000000
5;0.5;1831206;13387;20922;93.32000000000000000000;162.56000000000000000000;442.98000000000000000000;2046.77000000000000000000;72062.03000000000000000000;74807.66000000000000000000;.07210000000000000000;246768136.51000000000000000000;257021550.61000000000000000000;473979.61000000000000000000;359134.99000000000000000000;125867.59000000000000000000;75003474.43000000000000000000;1.00000000000000000000;1.04160000000000000000;.99340000000000000000;3.28840000000000000000
6;0.5;1803313;13387;20922;88.53000000000000000000;147.19000000000000000000;396.27000000000000000000;1948.98000000000000000000;28434.11000000000000000000;31015.08000000000000000000;.03070000000000000000;102828064.24000000000000000000;145060514.22000000000000000000;154157.57000000000000000000;53520.47000000000000000000;111306.63000000000000000000;31239700.08000000000000000000;1.00000000000000000000;1.41060000000000000000;.99370000000000000000;3.28970000000000000000
7;0.5;2288480;13387;20922;72.66666668000000000000;127.26666666000000000000;488.02999999000000000000;1786.23666669000000000000;8460.50666666000000000000;10934.70666671000000000000;.03150000000000000000;38094431.33340000000000000000;46789451.24680000000000000000;120023.02660000000000000000;18773.95650000000000000000;72354.57670000000000000000;11320334.29370000000000000000;3.00000000000000000000;1.22990000000000000000;.99440000000000000000;3.36550000000000000000
8;0.5;2393202;13387;20922;73.42000008000000000000;114.55333333000000000000;414.32333334000000000000;1590.27333334000000000000;60561.79666668000000000000;62754.36666664000000000000;.19070000000000000000;207769083.74000000000000000000;196477332.43660000000000000000;436840.94340000000000000000;349501.53010000000000000000;98433.15660000000000000000;63113024.96300000000000000000;3.00000000000000000000;.94630000000000000000;.99780000000000000000;3.29000000000000000000
9;0.5;1779350;13387;20922;67.08333333000000000000;112.83333336000000000000;395.40666672000000000000;1455.75666666000000000000;17723.76000000000000000000;19754.83999998000000000000;.06070000000000000000;65990204.83000000000000000000;85290038.61710000000000000000;135585.34310000000000000000;54198.14340000000000000000;85594.78000000000000000000;20046309.42000000000000000000;3.00000000000000000000;1.29240000000000000000;.99540000000000000000;3.28980000000000000000
10;0.5;1779293;13387;20922;54.42000000000000000000;13.22000000000000000000;42.64000000000000000000;1042.93000000000000000000;5.19000000000000000000;1158.40000000000000000000;.00060000000000000000;2781489.85000000000000000000;2926634.55000000000000000000;34677.82000000000000000000;1513.52000000000000000000;30641.12000000000000000000;846728.84000000000000000000;1.00000000000000000000;1.05640000000000000000;1.00910000000000000000;3.28900000000000000000
11;0.5;2000299;13387;20922;71.33000000000000000000;15.29000000000000000000;43.70000000000000000000;1096.17000000000000000000;5.49000000000000000000;1231.98000000000000000000;.00060000000000000000;3085761.58000000000000000000;2990053.88000000000000000000;35167.88000000000000000000;1241.10000000000000000000;31219.27000000000000000000;933537.50000000000000000000;1.00000000000000000000;1.01120000000000000000;1.00880000000000000000;3.30190000000000000000
12;0.5;1938306;13387;20922;50.69000000000000000000;119.08000000000000000000;190.20000000000000000000;1673.24000000000000000000;8479.36000000000000000000;10512.57000000000000000000;.01060000000000000000;35369293.34000000000000000000;43171728.35000000000000000000;79653.13000000000000000000;5131.10000000000000000000;59351.61000000000000000000;10481682.28000000000000000000;1.00000000000000000000;1.22920000000000000000;.99240000000000000000;3.37450000000000000000
13;0.5;1814224;13387;20922;53.93000000000000000000;106.65000000000000000000;176.25000000000000000000;1591.48000000000000000000;59944.95000000000000000000;61873.26000000000000000000;.06070000000000000000;203668139.94000000000000000000;192927815.46000000000000000000;393447.84000000000000000000;322315.98000000000000000000;87667.15000000000000000000;61861018.53000000000000000000;1.00000000000000000000;.94730000000000000000;.99570000000000000000;3.29020000000000000000
14;0.5;1913697;13387;20922;49.22000000000000000000;98.62000000000000000000;156.33000000000000000000;1447.50000000000000000000;16883.35000000000000000000;18635.02000000000000000000;.02070000000000000000;61085740.53000000000000000000;81908379.01000000000000000000;96106.01000000000000000000;34225.34000000000000000000;73507.32000000000000000000;18552051.82000000000000000000;1.00000000000000000000;1.34480000000000000000;.99360000000000000000;3.29040000000000000000
